team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
KKR,DC,KKR,bowl,"Eden Gardens, Kolkata",8:00 PM,Sundaram Ravi,Simon Taufel,Sudhir Asnani,David Boon,"['Gautam Gambhir', 'Manvinder Bisla', 'Jacques Kallis', 'Manoj Tiwary', 'Yusuf Pathan', 'Eoin Morgan', 'Laxmi Shukla', 'Rajat Bhatia', 'Brett Lee', 'Sunil Narine', 'Lakshmipathy Balaji']","['David Warner', 'Unmukt Chand', 'Mahela Jayawardene', 'Manprit Juneja', 'Johan Botha', 'Naman Ojha', 'Andre Russell', 'Irfan Pathan', 'Ashish Nehra', 'Shahbaz Nadeem', 'Umesh Yadav']",KKR
RCB,MI,MI,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Vineet Kulkarni,Chettithody Shamshuddin,Krishnaraj Srinath,Andy Pycroft,"['Chris Gayle', 'Tillakaratne Dilshan', 'Virat Kohli', 'Mayank Agarwal', 'Daniel Christian', 'Arun Karthik', 'Karun Nair', 'Vinay Kumar', 'Murali Kartik', 'Jaydev Unadkat', 'Muttiah Muralitharan']","['Ricky Ponting', 'Sachin Tendulkar', 'Dinesh Karthik', 'Rohit Sharma', 'Ambati Rayudu', 'Jasprit Bumrah', 'Kieron Pollard', 'Harbhajan Singh', 'Jacob Oram', 'Mitchell Johnson', 'Munaf Patel']",RCB
SRH,PWI,PWI,bowl,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Sundaram Ravi,Simon Taufel,Nandan,David Boon,"['Akshath Reddy', 'Parthiv Patel', 'Kumar Sangakkara', 'Cameron White', 'Hanuma Vihari', 'Thisara Perera', 'Dwaraka Ravi Teja', 'Amit Mishra', 'Ashish Reddy', 'Dale Steyn', 'Ishant Sharma']","['Robin Uthappa', 'Manish Pandey', 'Ross Taylor', 'Yuvraj Singh', 'Marlon Samuels', 'Angelo Mathews', 'Mitchell Marsh', 'Abhishek Nayar', 'Bhuvneshwar Kumar', 'Ashok Dinda', 'Rahul Sharma']",SRH
DC,RR,RR,bat,"Arun Jaitley Stadium, Delhi",4:00 PM,Subrat Das,Chettithody Shamshuddin,Anil Chaudhary,Andy Pycroft,"['Unmukt Chand', 'David Warner', 'Mahela Jayawardene', 'Naman Ojha', 'Johan Botha', 'Andre Russell', 'Irfan Pathan', 'Manprit Juneja', 'Shahbaz Nadeem', 'Ashish Nehra', 'Umesh Yadav']","['Rahul Dravid', 'Ajinkya Rahane', 'Brad Hodge', 'Kusal Perera', 'Stuart Binny', 'Ashok Menaria', 'Kevon Cooper', 'S Sreesanth', 'Samuel Badree', 'Rahul Shukla', 'Siddharth Trivedi']",RR
CSK,MI,MI,bat,"MA Chidambaram Stadium, Chennai",8:00 PM,Marais Erasmus,Vineet Kulkarni,Krishnaraj Srinath,Javagal Srinath,"['Murali Vijay', 'Michael Hussey', 'Suresh Raina', 'S Badrinath', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Ravichandran Ashwin', 'Dirk Nannes', 'Ben Laughlin', 'Ankit Rajpoot']","['Ricky Ponting', 'Sachin Tendulkar', 'Dinesh Karthik', 'Rohit Sharma', 'Ambati Rayudu', 'Dwayne Smith', 'Kieron Pollard', 'Mitchell Johnson', 'Harbhajan Singh', 'Munaf Patel', 'Pragyan Ojha']",MI
PWI,KXIP,PWI,bat,"Maharashtra Cricket Association Stadium, Pune",4:00 PM,Sudhir Asnani,Simon Taufel,Nandan,Ranjan Madugalle,"['Robin Uthappa', 'Manish Pandey', 'Marlon Samuels', 'Tirumalsetti Suman', 'Ross Taylor', 'Abhishek Nayar', 'Angelo Mathews', 'Mitchell Marsh', 'Bhuvneshwar Kumar', 'Rahul Sharma', 'Ashok Dinda']","['Adam Gilchrist', 'Mandeep Singh', 'David Hussey', 'Azhar Mahmood', 'Gurkeerat Singh Mann', 'Manan Vohra', 'Rajagopal Sathish', 'Piyush Chawla', 'Parvinder Awana', 'Praveen Kumar', 'Ryan Harris']",KXIP
SRH,RCB,RCB,bat,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Anil Chaudhary,Sundaram Ravi,Krishnaraj Srinath,David Boon,"['Akshath Reddy', 'Parthiv Patel', 'Kumar Sangakkara', 'Cameron White', 'Thisara Perera', 'Hanuma Vihari', 'Ashish Reddy', 'Ankit Sharma', 'Amit Mishra', 'Dale Steyn', 'Ishant Sharma']","['Chris Gayle', 'Tillakaratne Dilshan', 'Virat Kohli', 'Mayank Agarwal', 'Karun Nair', 'Arun Karthik', 'Moises Henriques', 'Vinay Kumar', 'Murali Kartik', 'Jaydev Unadkat', 'Muttiah Muralitharan']",SRH
RR,KKR,KKR,bowl,"Sawai Mansingh Stadium, Jaipur",8:00 PM,Aleem Dar,Subrat Das,Chettithody Shamshuddin,Andy Pycroft,"['Ajinkya Rahane', 'Rahul Dravid', 'Shane Watson', 'Stuart Binny', 'Brad Hodge', 'Kevon Cooper', 'Dishant Yagnik', 'S Sreesanth', 'Rahul Shukla', 'Shaun Tait', 'Siddharth Trivedi']","['Manvinder Bisla', 'Gautam Gambhir', 'Jacques Kallis', 'Manoj Tiwary', 'Yusuf Pathan', 'Eoin Morgan', 'Laxmi Shukla', 'Rajat Bhatia', 'Brett Lee', 'Sunil Narine', 'Mohammed Shami']",RR
RCB,SRH,SRH,bat,"M.Chinnaswamy Stadium, Bengaluru",4:00 PM,Marais Erasmus,Vineet Kulkarni,Sudhir Asnani,Ranjan Madugalle,"['Chris Gayle', 'Mayank Agarwal', 'Virat Kohli', 'AB de Villiers', 'Moises Henriques', 'Arun Karthik', 'Vinay Kumar', 'Murali Kartik', 'RP Singh', 'Jaydev Unadkat', 'Muttiah Muralitharan']","['Akshath Reddy', 'Parthiv Patel', 'Cameron White', 'Biplab Samantray', 'Hanuma Vihari', 'Kumar Sangakkara', 'Thisara Perera', 'Amit Mishra', 'Ashish Reddy', 'Dale Steyn', 'Ishant Sharma']",RCB
MI,DC,MI,bat,"Wankhede Stadium, Mumbai",8:00 PM,Marais Erasmus,Vineet Kulkarni,Sudhir Asnani,Ranjan Madugalle,"['Ricky Ponting', 'Sachin Tendulkar', 'Rohit Sharma', 'Dinesh Karthik', 'Ambati Rayudu', 'Kieron Pollard', 'Rishi Dhawan', 'Harbhajan Singh', 'Mitchell Johnson', 'Pragyan Ojha', 'Lasith Malinga']","['Unmukt Chand', 'David Warner', 'Mahela Jayawardene', 'Jeevan Mendis', 'Manprit Juneja', 'Kedar Jadhav', 'Irfan Pathan', 'Morne Morkel', 'Ashish Nehra', 'Shahbaz Nadeem', 'Umesh Yadav']",MI
