Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
DA Warner,0,848.0,560.0,88.0,31.0,151.15864527629233,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2295064955805948,1.0537784880396506,4.218581961879166,-1.0135876414016174,0.9692416175767848,-0.6849071043545125
S Dhawan,0,501.0,429.0,51.0,8.0,116.51162790697673,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35967838118232637,0.42148545362355283,2.1528107946417863,-1.0135876414016174,0.9722550674900792,-0.6849071043545125
MC Henriques,0,182.0,158.0,15.0,6.0,114.46540880503144,25.0,52.0,0.0,415.0,12.0,7.830188679245283,91.0,29.0,16.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,24.0,31.923076923076923,0.30006769675960465,0.3611983795775174,0.43294388861163047,0.5543779320641872,0.10312911425657985,-0.1402625653374792
Yuvraj Singh,0,236.0,179.0,22.0,13.0,131.11111111111111,14.0,6.1,0.0,52.0,0.0,7.323943661971831,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.599999999999994,52.0,1.024255427507626,0.6987621326485997,0.8094454532858205,1.3455925497942154,-1.5134654596341632,1.6914429673513367
DJ Hooda,0,144.0,121.0,9.0,5.0,118.0327868852459,25.0,13.0,0.0,97.0,3.0,6.928571428571429,21.0,6.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,19.5,24.25,0.09894323537539045,0.41141660432071125,0.23261639338411,0.23281526144095235,-1.2189322739599995,0.32845912773978136
BCJ Cutting,0,65.0,34.0,4.0,6.0,185.71428571428572,6.0,11.1,0.0,80.0,5.0,6.6115702479338845,23.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.1,13.333333333333334,2.0840211463333618,1.647040613810124,0.06685690865403736,-0.25006063479100693,-1.2102410616284078,-0.2373201776415961
NV Ojha,0,136.0,138.0,7.0,5.0,97.84172661870504,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-0.2310879497814143,0.04356672124249917,0.11681832499787631,-1.0135876414016174,0.9747548167878158,-0.6849071043545125
Bipul Sharma,0,51.0,25.0,1.0,5.0,196.15384615384613,11.0,14.0,0.0,121.0,3.0,8.066666666666666,22.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,30.25,1.446035094866364,1.7592838265142727,0.0180523661230575,0.4452629819724459,-1.2119947323322946,0.5366722005548316
B Kumar,0,43.0,27.0,6.0,1.0,153.57142857142858,25.0,66.0,3.0,490.0,23.0,7.313432835820896,169.0,54.0,8.0,17.0,1.0,0.0,0.0,10.0,1.0,0.0,16.5,20.416666666666668,1.6693302128798133,1.042160822308736,-0.16168892665655285,0.07421974659109118,0.9812946533934149,-1.5588609052370335
CH Gayle,0,227.0,150.0,17.0,21.0,150.33112582781456,14.0,10.0,0.0,63.0,2.0,5.7272727272727275,23.0,3.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,20.0,21.0,1.6885542958875936,1.0535870699084229,0.8543302461779466,0.1356359204992259,-1.306342028312369,0.23539510686326387
V Kohli,0,973.0,640.0,83.0,38.0,151.79407176287052,22.0,1.0,0.0,13.0,0.0,6.5,1.0,0.0,1.0,0.0,2.0,11.0,4.0,1.0,0.0,0.0,6.0,13.0,0.958339049283167,1.0570524519853959,4.839588248712299,-0.38643353806856967,-1.5527961931810281,-0.0838355656862529
AB de Villiers,0,687.0,407.0,57.0,37.0,168.38235294117646,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.441656759219041,1.3429165696762975,3.388759269300362,-1.0135876414016174,0.9682023258969996,-0.6849071043545125
KL Rahul,0,397.0,271.0,37.0,16.0,145.95588235294116,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0289986244588922,0.9302450336053123,1.7287046086893925,-1.0135876414016174,0.9696034654532316,-0.6849071043545125
SR Watson,0,179.0,134.0,14.0,12.0,132.5925925925926,22.0,56.3,0.0,485.0,20.0,8.464223385689355,125.0,45.0,18.0,20.0,1.0,0.0,0.0,2.0,1.0,0.0,16.085714285714282,23.095238095238095,1.0027529346618864,0.708502328509579,0.5021969471550882,0.15821108354244728,0.3206373295302792,-1.0250160930734296
Sachin Baby,0,119.0,79.0,9.0,5.0,148.75,17.0,1.4,0.0,8.0,2.0,3.3333333333333335,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.7999999999999994,2.6666666666666665,0.7984792526273604,0.9300888399103935,0.2172274284139487,-0.7971579900553108,-1.0001756825753936,-0.5688397713437666
