url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/1136620/chennai-super-kings-vs-sunrisers-hyderabad-final-indian-premier-league-2018,1136620,Sunrisers Hyderabad,Chennai Super Kings,NA,8,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Field,Indian Premier League 2018,Shane Watson,Final,Mumbai,May 27 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136598/kings-xi-punjab-vs-rajasthan-royals-38th-match-indian-premier-league-2018,1136598,Rajasthan Royals,Kings XI Punjab,NA,6,Kings XI Punjab,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2018,Mujeeb Ur Rahman,38,Indore,May 6 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136619/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-2-indian-premier-league-2018,1136619,Sunrisers Hyderabad,Kolkata Knight Riders,14,NA,Sunrisers Hyderabad,NA,NA,NA,Kolkata Knight Riders,Field,Indian Premier League 2018,Rashid Khan,Qualifier,Kolkata,May 25 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136614/sunrisers-hyderabad-vs-kolkata-knight-riders-54th-match-indian-premier-league-2018,1136614,Sunrisers Hyderabad,Kolkata Knight Riders,NA,5,Kolkata Knight Riders,NA,NA,NA,Sunrisers Hyderabad,Bat,Indian Premier League 2018,Chris Lynn,54,Hyderabad (Deccan),May 19 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136615/delhi-daredevils-vs-mumbai-indians-55th-match-indian-premier-league-2018,1136615,Delhi Daredevils,Mumbai Indians,11,NA,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Bat,Indian Premier League 2018,Amit Mishra,55,Delhi,May 20 2018,D/N
https://www.espncricinfo.com/series/8048/scorecard/1136618/kolkata-knight-riders-vs-rajasthan-royals-eliminator-indian-premier-league-2018,1136618,Kolkata Knight Riders,Rajasthan Royals,25,NA,Kolkata Knight Riders,NA,NA,NA,Rajasthan Royals,Field,Indian Premier League 2018,Andre Russell,Eliminator,Kolkata,May 23 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136601/kolkata-knight-riders-vs-mumbai-indians-41st-match-indian-premier-league-2018,1136601,Mumbai Indians,Kolkata Knight Riders,102,NA,Mumbai Indians,NA,NA,NA,Kolkata Knight Riders,Field,Indian Premier League 2018,Ishan Kishan,41,Kolkata,May 9 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136617/sunrisers-hyderabad-vs-chennai-super-kings-qualifier-1-indian-premier-league-2018,1136617,Sunrisers Hyderabad,Chennai Super Kings,NA,2,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Field,Indian Premier League 2018,Faf du Plessis,Qualifier,Mumbai,May 22 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136613/rajasthan-royals-vs-royal-challengers-bangalore-53rd-match-indian-premier-league-2018,1136613,Rajasthan Royals,Royal Challengers Bangalore,30,NA,Rajasthan Royals,NA,NA,NA,Rajasthan Royals,Bat,Indian Premier League 2018,Shreyas Gopal,53,Jaipur,May 19 2018,D/N
https://www.espncricinfo.com/series/8048/scorecard/1136604/kings-xi-punjab-vs-kolkata-knight-riders-44th-match-indian-premier-league-2018,1136604,Kolkata Knight Riders,Kings XI Punjab,31,NA,Kolkata Knight Riders,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2018,Sunil Narine,44,Indore,May 12 2018,D/N
