,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,SP Goswami,run out (Sharma/†Dhoni),5,5,0,0,100,1,,,,,,,,,,
1,S Dhawan,b Jadeja,26,25,2,1,104,1,,,,,,,,,,
2,KS Williamson,st †Dhoni b Sharma,47,36,5,2,130.55,1,,,,,,,,,,
3,Shakib Al Hasan,c Raina b Bravo,23,15,2,1,153.33,1,1,0,15,0,15,1,0,2,0,0
4,YK Pathan,not out,45,25,4,2,180,1,,,,,,,,,,
5,DJ Hooda,c sub (DR Shorey) b Ngidi,3,4,0,0,75,1,,,,,,,,,,
6,CR Brathwaite,c Rayudu b Thakur,21,11,0,3,190.9,1,2.3,0,27,1,10.8,3,3,1,1,0
7,SR Watson,not out,117,57,11,8,205.26,2,,,,,,,,,,
8,F du Plessis,c & b Sandeep Sharma,10,11,1,0,90.9,2,,,,,,,,,,
9,SK Raina,c †Goswami b Brathwaite,32,24,3,1,133.33,2,,,,,,,,,,
10,AT Rayudu,not out,16,19,1,1,84.21,2,,,,,,,,,,
11,Rashid Khan,DNB,0,0,0,0,0,1,4,1,24,0,6,9,3,0,0,0
12,B Kumar,DNB,0,0,0,0,0,1,4,1,17,0,4.25,16,0,1,0,0
13,S Kaul,DNB,0,0,0,0,0,1,3,0,43,0,14.33,2,5,2,0,0
14,Sandeep Sharma,DNB,0,0,0,0,0,1,4,0,52,1,13,9,5,4,2,0
15,MS Dhoni,DNB,0,0,0,0,0,2,,,,,,,,,,
16,DJ Bravo,DNB,0,0,0,0,0,2,4,0,46,1,11.5,5,5,2,2,0
17,RA Jadeja,DNB,0,0,0,0,0,2,2,0,24,1,12,2,3,1,0,0
18,DL Chahar,DNB,0,0,0,0,0,2,4,0,25,0,6.25,10,1,1,1,1
19,KV Sharma,DNB,0,0,0,0,0,2,3,0,25,1,8.33,7,2,1,1,0
20,SN Thakur,DNB,0,0,0,0,0,2,3,0,31,1,10.33,4,1,2,2,0
21,L Ngidi,DNB,0,0,0,0,0,2,4,1,26,1,6.5,11,1,2,0,0
0,JC Buttler,c †Rahul b Mujeeb Ur Rahman,51,39,7,0,130.76,1,,,,,,,,,,
1,DJM Short,c Tye b Ashwin,2,2,0,0,100,1,,,,,,,,,,
2,AM Rahane,c Gayle b Patel,5,7,0,0,71.42,1,,,,,,,,,,
3,SV Samson,c Nair b Tye,28,23,2,1,121.73,1,,,,,,,,,,
4,BA Stokes,c Tiwary b Mujeeb Ur Rahman,12,9,2,0,133.33,1,3,0,22,1,7.33,4,2,0,0,0
5,RA Tripathi,c Ashwin b Tye,11,13,1,0,84.61,1,,,,,,,,,,
6,JC Archer,b Mujeeb Ur Rahman,0,1,0,0,0,1,3.4,0,43,1,11.72,7,4,2,1,0
7,K Gowtham,c Stoinis b Rajpoot,5,3,1,0,166.66,1,3,0,18,1,6,11,3,0,1,0
8,S Gopal,run out (†Rahul),24,16,3,0,150,1,3,0,26,0,8.66,5,1,2,0,0
9,JD Unadkat,not out,6,7,0,0,85.71,1,4,0,26,0,6.5,12,2,1,1,0
10,KL Rahul,not out,84,54,7,3,155.55,2,,,,,,,,,,
11,CH Gayle,c Samson b Archer,8,11,2,0,72.72,2,,,,,,,,,,
12,MA Agarwal,c Tripathi b Stokes,2,3,0,0,66.66,2,,,,,,,,,,
