,Unnamed: 0,Year,Team1,Team2,Toss_won,Decision,Venue,Time,Ump1,Ump2,Ump3,Ref,Squad1,Squad2,Team_1_A,Team_1_B,Team_1_C,Team_1_D,Team_1_E,Team1_F,Team1_G,Team1_H,Team1_I,Team1_J,Team1_K,Team_2_A,Team_2_B,Team_2_C,Team_2_D,Team_2_E,Team2_F,Team2_G,Team2_H,Team2_I,Team2_J,Team2_K,Form1,Form2,Winner,Team_1_Balance,Team_2_Balance,Home
0,0,2008,RCB,KKR,1,1,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Asad Rauf,Rudi Koertzen,Amiesh Saheba,Javagal Srinath,"['Zaheer Khan', 'Praveen Kumar', 'Balachandra Akhil', 'Jacques Kallis', 'Wasim Jaffer', 'Sunil Joshi', 'Ashley Noffke', 'Mark Boucher', 'Cameron White', 'Virat Kohli', 'Rahul Dravid']","['Murali Kartik', 'Ajit Agarkar', 'Wriddhiman Saha', 'Laxmi Shukla', 'Ishant Sharma', 'Ashok Dinda', 'Mohammad Hafeez', 'David Hussey', 'Ricky Ponting', 'Brendon McCullum', 'Sourav Ganguly']",0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1.0,1.0,1.0
1,1,2008,KXIP,CSK,0,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",5:00 PM,Aleem Dar,GA Pratapkumar,Ian Howell,Gundappa Viswanath,"['Piyush Chawla', 'Pankaj Dharmani', 'Irfan Pathan', 'Simon Katich', 'Yuvraj Singh', 'Kumar Sangakkara', 'James Hopes', 'S Sreesanth', 'Wilkin Mota', 'Brett Lee', 'Karan Goel']","['S Badrinath', 'Suresh Raina', 'Muttiah Muralitharan', 'Manpreet Gony', 'Palani Amarnath', 'Joginder Sharma', 'Jacob Oram', 'MS Dhoni', 'Michael Hussey', 'Matthew Hayden', 'Parthiv Patel']",0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1.0,1.0,1.0
2,2,2008,DC,RR,0,0,"Arun Jaitley Stadium, Delhi",8:30 PM,Mark Benson,Suresh Shastri,Russell Tiffin,Srinivas Venkataraghavan,"['Farveez Maharoof', 'Daniel Vettori', 'Dinesh Karthik', 'Shikhar Dhawan', 'Gautam Gambhir', 'Glenn McGrath', 'Brett Geeves', 'Mithun Manhas', 'Rajat Bhatia', 'Manoj Tiwary', 'Virender Sehwag']","['Siddharth Trivedi', 'Shane Warne', 'Dinesh Salunkhe', 'Mahesh Rawat', 'Darren Lehmann', 'Munaf Patel', 'Ravindra Jadeja', 'Mohammad Kaif', 'Shane Watson', 'Yusuf Pathan', 'Taruwar Kohli']",0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,1.0,1.0
3,3,2008,KKR,DCG,0,0,"Eden Gardens, Kolkata",4:00 PM,Billy Bowden,Krishna Hariharan,Asad Rauf,Farokh Engineer,"['Ishant Sharma', 'Murali Kartik', 'Ashok Dinda', 'Ajit Agarkar', 'David Hussey', 'Sourav Ganguly', 'Brendon McCullum', 'Wriddhiman Saha', 'Laxmi Shukla', 'Mohammad Hafeez', 'Ricky Ponting']","['Pragyan Ojha', 'Chaminda Vaas', 'Sanjay Bangar', 'Arjun Yadav', 'RP Singh', 'Scott Styris', 'Rohit Sharma', 'Andrew Symonds', 'VVS Laxman', 'Venugopal Rao', 'Adam Gilchrist']",0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5,10,1,1.0,1.0,1.0
4,4,2008,MI,RCB,1,0,"Wankhede Stadium, Mumbai",8:00 PM,Steven Davies,Daryl Harper,Arani Jayaprakash,Javagal Srinath,"['Harbhajan Singh', 'Shaun Pollock', 'Abhishek Nayar', 'Dhawal Kulkarni', 'Ashish Nehra', 'Musavir Khote', 'Pinal Shah', 'Robin Uthappa', 'Dominic Thornely', 'Sanath Jayasuriya', 'Luke Ronchi']","['Sunil Joshi', 'Zaheer Khan', 'Praveen Kumar', 'Virat Kohli', 'Ross Taylor', 'Rahul Dravid', 'Vinay Kumar', 'Balachandra Akhil', 'Mark Boucher', 'Jacques Kallis', 'Shivnarine Chanderpaul']",0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,1.0,1.0,1.0
5,5,2008,RR,KXIP,0,0,"Sawai Mansingh Stadium, Jaipur",8:00 PM,Aleem Dar,Russell Tiffin,Ivaturi Shivram,Srinivas Venkataraghavan,"['Munaf Patel', 'Siddharth Trivedi', 'Shane Warne', 'Dinesh Salunkhe', 'Pankaj Singh', 'Ravindra Jadeja', 'Darren Lehmann', 'Yusuf Pathan', 'Shane Watson', 'Kamran Akmal', 'Mohammad Kaif']","['Wilkin Mota', 'Piyush Chawla', 'Brett Lee', 'S Sreesanth', 'Sunny Sohal', 'Irfan Pathan', 'Yuvraj Singh', 'Mahela Jayawardene', 'Kumar Sangakkara', 'James Hopes', 'Karan Goel']",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,1.0,1.0
6,6,2008,DCG,DC,1,0,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Ian Howell,Amiesh Saheba,Mark Benson,Talat Ali,"['RP Singh', 'Rohit Sharma', 'Pragyan Ojha', 'Chaminda Vaas', 'Arjun Yadav', 'Sanjay Bangar', 'Shahid Afridi', 'Andrew Symonds', 'VVS Laxman', 'Venugopal Rao', 'Adam Gilchrist']","['Yo Mahesh', 'Mohammad Asif', 'Farveez Maharoof', 'Shoaib Malik', 'Gautam Gambhir', 'Glenn McGrath', 'Rajat Bhatia', 'Manoj Tiwary', 'Dinesh Karthik', 'Shikhar Dhawan', 'Virender Sehwag']",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,1.0,0.8948393168143698,1.0
7,7,2008,CSK,MI,0,1,"MA Chidambaram Stadium, Chennai",8:00 PM,Daryl Harper,GA Pratapkumar,Billy Bowden,Farokh Engineer,"['Muttiah Muralitharan', 'Palani Amarnath', 'Joginder Sharma', 'Manpreet Gony', 'S Badrinath', 'Jacob Oram', 'MS Dhoni', 'Suresh Raina', 'Michael Hussey', 'Matthew Hayden', 'Parthiv Patel']","['Vikrant Yeligati', 'Ashish Nehra', 'Harbhajan Singh', 'Musavir Khote', 'Abhishek Nayar', 'Shaun Pollock', 'Robin Uthappa', 'Luke Ronchi', 'Dwayne Bravo', 'Sanath Jayasuriya', 'Dhawal Kulkarni']",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1.0,1.0,1.0
8,8,2008,DCG,RR,0,1,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Asad Rauf,Mark Benson,Suresh Shastri,Srinivas Venkataraghavan,"['Doddapaneni Kalyankrishna', 'Andrew Symonds', 'Pragyan Ojha', 'RP Singh', 'Chaminda Vaas', 'Sanjay Bangar', 'Arjun Yadav', 'Rohit Sharma', 'Shahid Afridi', 'VVS Laxman', 'Adam Gilchrist']","['Siddharth Trivedi', 'Pankaj Singh', 'Yusuf Pathan', 'Graeme Smith', 'Kamran Akmal', 'Munaf Patel', 'Dinesh Salunkhe', 'Shane Warne', 'Ravindra Jadeja', 'Mohammad Kaif', 'Shane Watson']",0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,1.0,0.9394130628134758,1.0
9,9,2008,KXIP,MI,0,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM,Aleem Dar,Amiesh Saheba,Rudi Koertzen,Farokh Engineer,"['Vikram Singh', 'Piyush Chawla', 'Brett Lee', 'Sunny Sohal', 'S Sreesanth', 'Mahela Jayawardene', 'Ramnaresh Sarwan', 'Yuvraj Singh', 'Kumar Sangakkara', 'Irfan Pathan', 'Karan Goel']","['Musavir Khote', 'Harbhajan Singh', 'Abhishek Nayar', 'Shaun Pollock', 'Dwayne Bravo', 'Robin Uthappa', 'Sanath Jayasuriya', 'Luke Ronchi', 'Ashish Nehra', 'Dhawal Kulkarni', 'Saurabh Tiwary']",0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,1.0,1.0
