param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_tol,params,mean_test_f1,mean_train_f1,mean_test_Accuracy,mean_train_Accuracy,score
relu,0.5,"(10, 6, 4)",adaptive,0.001,0.0025,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'random_state': 0, 'tol': 0.025}",0.755655665,0.79452,0.688582111,0.688888888,0.474356565
relu,0.005,"(10, 6, 4)",adaptive,0.01,0.0003,"{'activation': 'relu', 'alpha': 0.005, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'random_state': 9, 'tol': 0.0003}",0.565653021,0.655744474,0.616666667,0.708333333,0.436805556
relu,0.005,"(10, 6, 4)",adaptive,0.01,0.0004,"{'activation': 'relu', 'alpha': 0.005, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'random_state': 9, 'tol': 0.0004}",0.547724172,0.651274828,0.616666667,0.708333333,0.436805556
relu,0.3,"(10, 6, 4)",adaptive,0.001,0.0001,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'random_state': 5, 'tol': 0.0001}",0.498428424,0.578162263,0.616666667,0.691666667,0.426527778
relu,0.3,"(10, 6, 4)",adaptive,0.001,0.0003,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'random_state': 5, 'tol': 0.0003}",0.498428424,0.578162263,0.616666667,0.691666667,0.426527778
relu,0.3,"(10, 6, 4)",adaptive,0.001,0.0004,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'random_state': 5, 'tol': 0.0004}",0.498428424,0.578162263,0.616666667,0.691666667,0.426527778
relu,0.01,"(10, 6, 4)",adaptive,0.008,0.001,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'random_state': 6, 'tol': 0.001}",0.524210526,0.520452333,0.65,0.645833333,0.419791667
relu,0.005,"(10, 6, 4)",adaptive,0.008,0.0001,"{'activation': 'relu', 'alpha': 0.005, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'random_state': 9, 'tol': 0.0001}",0.511189084,0.536716975,0.633333333,0.658333333,0.416944444
relu,0.005,"(10, 6, 4)",adaptive,0.008,0.0003,"{'activation': 'relu', 'alpha': 0.005, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'random_state': 9, 'tol': 0.0003}",0.511189084,0.536716975,0.633333333,0.658333333,0.416944444
relu,0.005,"(10, 6, 4)",adaptive,0.008,0.0004,"{'activation': 'relu', 'alpha': 0.005, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'random_state': 9, 'tol': 0.0004}",0.511189084,0.536716975,0.633333333,0.658333333,0.416944444
relu,0.5,"(10, 6, 4)",adaptive,0.005,0.0001,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'random_state': 6, 'tol': 0.0001}",0.5520707,0.623850147,0.616666667,0.675,0.41625
relu,0.01,"(10, 6, 4)",adaptive,0.008,0.0001,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'random_state': 9, 'tol': 0.0001}",0.518974172,0.574877618,0.616666667,0.675,0.41625
relu,0.5,"(10, 6, 4)",adaptive,0.001,0.0001,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'random_state': 9, 'tol': 0.0001}",0.508292955,0.712330943,0.55,0.754166667,0.414791667
relu,1.2,"(10, 6, 4)",adaptive,0.0005,0.0004,"{'activation': 'relu', 'alpha': 1.2, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005, 'random_state': 5, 'tol': 0.0004}",0.498428424,0.558005774,0.616666667,0.670833333,0.413680556
relu,0.1,"(10, 6, 4)",adaptive,0.01,0.0003,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'random_state': 5, 'tol': 0.0003}",0.491929825,0.523594751,0.633333333,0.65,0.411666667
relu,0.005,"(10, 6, 4)",adaptive,0.008,0.005,"{'activation': 'relu', 'alpha': 0.005, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'random_state': 6, 'tol': 0.005}",0.533162318,0.510984374,0.65,0.633333333,0.411666667
relu,0.0001,"(10, 6, 4)",adaptive,0.008,0.0001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'random_state': 7, 'tol': 0.0001}",0.511189084,0.523674387,0.633333333,0.65,0.411666667
relu,0.0001,"(10, 6, 4)",adaptive,0.008,0.0003,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'random_state': 7, 'tol': 0.0003}",0.511189084,0.523674387,0.633333333,0.65,0.411666667
relu,0.0001,"(10, 6, 4)",adaptive,0.008,0.0004,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'random_state': 7, 'tol': 0.0004}",0.511189084,0.523674387,0.633333333,0.65,0.411666667
relu,0.0001,"(10, 6, 4)",adaptive,0.005,0.005,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 6, 4), 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'random_state': 6, 'tol': 0.005}",0.548576998,0.528992968,0.65,0.633333333,0.411666667
